"","V1","V2","V3","V4","V5","V6","V7","C1","C2","C3","C4","C5","C6","C7","FY","CY"
"81",0,401367.533757499,792965.158199156,0,0,0,0,0,736.216718705649,1097.23417541868,0,0,0,0,2016,2016
"82",0,0,299086.869906069,0,0,0,15172.046540102,0,0,546.439461883408,0,0,0,122.725,2017,2016
"83",0,0,69040.5949416378,2351196.78630115,0,0,13286.3853511197,0,0,479.747367278254,1846.00580922505,0,0,115.098360655738,2017,2016
"84",0,71284.4570070944,0,481711.763815596,5317724.6106566,168003.307948426,0,0,444.429201101928,0,920.164102564103,3730.40377198559,407.8,0,2017,2016
"85",0,86460.5527565752,2374006.23155284,3261380.73950182,148456.707396941,0,77807.012638897,0,415.480952380952,2248.97914913511,2410.55913978495,384.559139784946,0,394.879569892473,2017,2017
"86",0,16116.8664926887,86395.9585376699,0,33686.639503934,0,40426.86855485,0,126.888888888889,391.990929705215,0,259.439909297052,0,253.777777777778,2017,2017
"87",0,0,0,960890.0625,0,0,0,0,0,0,980.25,0,0,0,2017,2017
"88",0,0,15916.0782421824,0,0,0,14940.9651349469,0,0,126.158940397351,0,0,0,122.115384615385,2018,2017
"89",0,577739.22844366,256368.406326576,8279110.55911521,3140512.97750056,0,0,0,759.507352941176,506.328358208955,4810.17866549605,1772.14925373134,0,0,2018,2017
"90",0,0,354089.912066116,168651.672034621,44260.5628150826,0,22129.9433109504,0,0,595.054545454545,409.1,297.525,0,148.761363636364,2018,2017
"91",0,0,6421323.51060424,0,133779.385945388,0,0,0,0,2557.13684210526,0,365.305263157895,0,0,2018,2018
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2018
"95",242200.75448025,0,145780.011617393,30540574.3745949,6137759.52938838,0,145780.011617393,689.448358953054,0,381.496551724138,11063.2956253217,3051.9724137931,0,381.496551724138,2019,2018
"96",735227.882639708,130615333.377266,29852701.1617232,142437968.109046,75500378.1256856,0,360586.799549827,1211.11863075196,26472.6389277389,7982.13518086851,22259.4025123025,18454.4824484158,0,599.691358024691,2019,2018
"97",143103.500250531,0,3577587.50626327,9158624.01603396,0,159426.312317166,143103.500250531,377.76,0,1888.8,3022.08,0,399.040268456376,377.76,2019,2019
"98",163910.875525125,0,2622574.008402,0,163910.875525125,0,655643.502100501,404.213483146067,0,1616.85393258427,0,404.213483146067,0,808.426966292135,2019,2019
"99",0,0,0,0,0,0,42350.8845267047,0,0,0,0,0,0,205.375,2019,2019
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2019
"101",589042.192587657,0,9743860.82393352,511166.681344596,1127153.59881891,0,4508614.39527564,1476.7987854251,0,3121.51578947368,712.846153846154,1069.26923076923,0,2138.53846153846,2020,2019
"102",412101.681706272,2255140.07309674,23548404.0103332,34562342.4933061,412101.681706272,0,41320805.0888313,636.460317460317,1513.10416666667,8237.96789832285,9630.99503968254,636.460317460317,0,8718.31039420485,2020,2019
"103",160272.869223242,361130.736118402,0,20513529.2503159,17241581.4815006,0,0,398.609195402299,811.454433497537,0,6975.66091954023,4783.31034482759,0,0,2020,2020
"104",1320.69359732357,0,21131.0975571771,0,1320.69359732357,0,5282.77438929428,153.988764044944,0,615.955056179775,0,153.988764044944,0,307.977528089888,2020,2020
"105",0,0,0,0,0,0,415.581715317602,0,0,0,0,0,0,109.60119047619,2020,2020
"106",0,265030.235884882,265030.235884882,0,265030.235884882,0,0,0,514.521951219512,514.521951219512,0,514.521951219512,0,0,2021,2020
"107",0,4628459.7510524,691240.555024482,1961592.77247238,6664870.38527285,0,2251546.77238157,0,2151.38554216867,830.53488372093,1957.59458521347,2581.64102564103,0,2521.62398430933,2021,2020
"108",0,0,0,0,1758395.99160858,0,2274521.43429233,0,0,0,0,1323.21367521368,0,1984.82051282051,2021,2020
"109",0,0,331577.093405118,1948742.34718971,14932523.568211,0,204363.693404129,0,0,773.752293577982,1820.79645828888,5363.95665336452,0,781.439513548112,2021,2021
"110",0,0,289691.644076498,6928961.748389,289691.644076498,0,0,0,0,544.519736842105,3557.5350877193,544.519736842105,0,0,2021,2021
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2021
"112",0,1881132.09139779,1077273.41429415,209014.676821976,0,0,209014.676821976,0,1369.93103448276,1369.93103448276,456.64367816092,0,0,456.64367816092,2022,2021
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2021
"114",0,6157413.81490431,26060283.6900756,20822037.4342699,14761231.2704352,280071.991839521,578389.928729718,0,5349.43368942157,9642.05549765503,6340.87128712871,6536.98070838012,528.405940594059,1056.81188118812,2022,2021
"115",0,0,13914109.930608,803679.282017882,41093314.3942507,380153.221605283,12787479.7353724,0,0,6886.98474430689,1257.10975609756,11986.4358866438,616.103773584906,5726.5234671251,2022,2022
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2022
"117",0,2038407.18588076,2489372.9603264,796886.615748098,7171979.54173288,0,0,0,1784.12987012987,2665.96653346653,892.064935064935,2676.19480519481,0,0,2022,2022
"118",0,0,3418540.77110994,13062228.754921,4102192.11696965,0,6634691.93743015,0,0,2574.375,4863.26380368098,2538.68922546012,0,2574.375,2023,2022
"119",0,1974863.05812811,12875048.7603306,515001.950413223,74160280.8595041,0,0,0,1403.37777777778,3588.18181818182,717.636363636364,8611.63636363636,0,0,2023,2022
"120",0,6075265.46670381,201981997.624384,6630440.30950939,0,0,0,0,2456.66666666667,18425,2555.78260869565,0,0,0,2023,2022
