Estimate Status,Year,Wave,Common Name,Fishing Mode,Fishing Area,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2007,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),682,100,4011,100,0,0%,0%
FINAL,2007,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),509,100,0,.,509,0%,0%
FINAL,2008,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),13621,48.1,79325,48.2,0,0%,0%
FINAL,2008,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2462,99.5,14336,99.6,0,0%,0%
FINAL,2008,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2782,70.6,4907,.,0,0%,0%
FINAL,2008,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2782,100,0,.,2782,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),15539,77.5,85641,.,0,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5358,83.4,0,.,5358,0%,0%
FINAL,2009,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),350,100,0,.,350,0%,0%
FINAL,2009,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),10279,59.9,0,.,10279,0%,0%
FINAL,2009,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1178,54.6,0,.,1178,0%,0%
FINAL,2009,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6711,45.1,100900,.,0,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,PINK SNAPPER,SHORE,OCEAN (<= 3 MI),4270,100,0,.,4270,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11192,46,0,.,11192,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),484,74.2,0,.,484,0%,0%
FINAL,2010,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),14724,75.3,73467,86.8,0,0%,0%
FINAL,2010,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),23036,71.9,115079,75.5,0,0%,0%
FINAL,2010,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10580,74.1,18660,74.1,0,0%,0%
FINAL,2010,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20187,66,65644,67,0,0%,0%
FINAL,2010,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),824,100,2490,100,0,0%,0%
FINAL,2010,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),38248,60.3,121086,63.6,0,0%,0%
FINAL,2010,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),7404,71.7,23441,82,0,0%,0%
FINAL,2011,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2119,59.3,7382,78.9,0,0%,0%
FINAL,2011,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5288,92.7,18419,98.8,0,0%,0%
FINAL,2011,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1383,100,0,.,1383,0%,0%
FINAL,2011,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11665,46.5,62364,47,0,0%,0%
FINAL,2011,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4924,100,0,.,4924,0%,0%
FINAL,2012,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11487,57.7,72806,57.8,0,0%,0%
FINAL,2012,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),8000,85.6,50708,85.7,0,0%,0%
FINAL,2012,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),233,100.2,1794,.,0,0%,0%
FINAL,2012,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2904,70.9,17929,.,0,0%,0%
FINAL,2012,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2134,92.8,12233,.,0,0%,0%
FINAL,2012,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),173,100.1,0,.,173,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5248,66.7,32396,67,0,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),561,81.8,3462,82,0,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8930,75.6,58865,75.7,0,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),7031,48.6,26971,54.2,0,0%,0%
FINAL,2013,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6395,96.7,40038,.,0,0%,0%
FINAL,2013,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),458,100,0,.,458,0%,0%
FINAL,2013,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4909,49.4,20094,52.2,0,0%,0%
FINAL,2013,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1395,88.7,5710,92.6,0,0%,0%
FINAL,2013,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),463,73.4,0,.,463,0%,0%
FINAL,2013,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11011,57.3,20816,57.5,0,0%,0%
FINAL,2013,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4354,55.1,7643,55.2,0,0%,0%
FINAL,2013,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5779,72.9,34715,73.2,0,0%,0%
FINAL,2013,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1850,71.1,10195,76.3,0,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3471,67.8,19893,.,0,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5036,56.8,0,.,5036,0%,0%
FINAL,2014,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10299,54.2,53964,57,0,0%,0%
FINAL,2014,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),11298,79.7,59197,85.5,0,0%,0%
FINAL,2014,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),7499,72.5,0,.,7499,0%,0%
FINAL,2014,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1781,99.3,0,.,1781,0%,0%
FINAL,2014,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1236,100,0,.,1236,0%,0%
FINAL,2014,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1014,83.3,6710,.,0,0%,0%
FINAL,2014,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),484,99.4,0,.,484,0%,0%
FINAL,2014,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4648,93.3,6455,.,0,0%,0%
FINAL,2014,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3073,68.6,0,.,3073,0%,0%
FINAL,2015,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1268,78.2,6347,.,0,0%,0%
FINAL,2015,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4619,54.9,9165,.,0,0%,0%
FINAL,2015,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),516,76.6,0,.,516,0%,0%
FINAL,2015,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2641,75.9,0,.,2641,0%,0%
FINAL,2015,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8256,74.9,0,.,8256,0%,0%
FINAL,2015,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1753,99.6,0,.,1753,0%,0%
FINAL,2015,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3026,57.9,11307,66.8,0,0%,0%
FINAL,2015,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),844,99.5,3154,99.6,0,0%,0%
FINAL,2016,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2414,73.4,0,.,2414,0%,0%
FINAL,2016,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),609,73.3,0,.,609,0%,0%
FINAL,2016,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1054,64.4,7004,65.6,0,0%,0%
FINAL,2016,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),311,81.8,2244,81.9,0,0%,0%
FINAL,2016,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),906,90.1,0,.,906,0%,0%
FINAL,2016,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1724,88.6,0,.,1724,0%,0%
FINAL,2016,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),365,78.4,0,.,365,0%,0%
FINAL,2016,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4998,84.2,17520,.,0,0%,0%
FINAL,2016,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4700,93.7,0,.,4700,0%,0%
FINAL,2017,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),385,100.2,1472,100.1,0,0%,0%
FINAL,2017,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2026,87.1,7392,87.4,0,0%,0%
FINAL,2017,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),980,100,0,.,980,0%,0%
FINAL,2017,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),980,100,0,.,980,0%,0%
FINAL,2017,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1772,100,13616,100,0,0%,0%
FINAL,2017,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3038,74.6,23341,74.8,0,0%,0%
FINAL,2017,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),409,100.4,0,.,409,0%,0%
FINAL,2017,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),149,100,0,.,149,0%,0%
FINAL,2018,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8037,99.2,0,.,8037,0%,0%
FINAL,2018,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5069,80.2,50177,.,0,0%,0%
FINAL,2018,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),9711,94.9,64228,.,0,0%,0%
FINAL,2018,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),9919,54.5,50659,66.4,0,0%,0%
FINAL,2018,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1144,100.1,5845,100.1,0,0%,0%
FINAL,2018,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),17368,61.9,72367,64.9,0,0%,0%
FINAL,2018,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4891,100.1,21352,100.1,0,0%,0%
FINAL,2019,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4533,77.7,19363,79.5,0,0%,0%
FINAL,2019,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3034,100,0,.,3034,0%,0%
FINAL,2019,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3386,100.2,0,.,3386,0%,0%
FINAL,2019,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1075,99.8,0,.,1075,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),713,100.3,1242,100.3,0,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2616,99.1,4557,99.2,0,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5092,73.9,15547,75.1,0,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),42367,89.9,129361,89.9,0,0%,0%
FINAL,2020,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),7374,59.9,71857,61.2,0,0%,0%
FINAL,2020,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4211,75.7,27848,.,0,100%,100%
FINAL,2020,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1254,100.1,0,.,1254,100%,0%
FINAL,2020,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),938,99.8,0,.,938,100%,0%
FINAL,2020,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1878,73.5,12689,76,0,0%,0%
FINAL,2020,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),831,99.6,5610,99.7,0,0%,0%
FINAL,2021,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1290,100.1,8202,100.1,0,0%,0%
FINAL,2021,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),531,100.1,3379,100.1,0,0%,0%
FINAL,2021,MARCH/APRIL,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3558,74,0,.,3558,0%,0%
FINAL,2021,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),457,100.1,574,.,0,0%,0%
FINAL,2021,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8455,59.7,0,.,8455,0%,0%
PRELIMINARY,2022,JANUARY/FEBRUARY,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1257,71.3,4074,76.9,0,0%,0%
PRELIMINARY,2022,MAY/JUNE,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),892,100.1,5811,100.1,0,0%,0%
PRELIMINARY,2022,JULY/AUGUST,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4863,74.3,9850,74.4,0,0%,0%
PRELIMINARY,2022,SEPTEMBER/OCTOBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),757,100,0,.,757,0%,0%
PRELIMINARY,2022,NOVEMBER/DECEMBER,PINK SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1995,100.8,0,.,1995,0%,0%
FINAL,2004,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1233,51.6,3943,55.3,0,0%,0%
FINAL,2004,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),8880,86.6,55595,86.6,0,0%,0%
FINAL,2004,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2439,99.1,13980,.,0,0%,0%
FINAL,2005,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),775,98.8,4184,98.9,0,0%,0%
FINAL,2005,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3489,59.9,20074,60.3,0,0%,0%
FINAL,2005,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),526,100,0,.,526,0%,0%
FINAL,2005,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),669,100,0,.,669,0%,0%
FINAL,2005,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2348,100,0,.,2348,0%,0%
FINAL,2005,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1736,100.1,0,.,1736,0%,0%
FINAL,2006,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5586,100,0,.,5586,0%,0%
FINAL,2006,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1836,100,0,.,1836,0%,0%
FINAL,2006,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),291,100,0,.,291,0%,0%
FINAL,2006,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1178,100,0,.,1178,0%,0%
FINAL,2006,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3437,72.4,23866,82.9,0,0%,0%
FINAL,2006,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),869,100,6038,100,0,0%,0%
FINAL,2007,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3411,78.4,0,.,3411,0%,0%
FINAL,2007,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),729,100.6,12036,100.4,0,0%,0%
FINAL,2007,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3560,62.6,58762,102,0,0%,0%
FINAL,2008,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1149,87.8,1937,87.9,0,0%,0%
FINAL,2008,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),821,100,1384,100,0,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5358,100,0,.,5358,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4822,72.8,0,.,4822,0%,0%
FINAL,2009,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),348,99.5,0,.,348,0%,0%
FINAL,2009,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1472,63.3,0,.,1472,0%,0%
FINAL,2009,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2786,100.2,0,.,2786,0%,0%
FINAL,2009,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1064,100,0,.,1064,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),7904,54.7,21694,55.2,0,0%,0%
FINAL,2010,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),39789,69.7,0,.,39789,0%,0%
FINAL,2010,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2565,80.4,0,.,2565,0%,0%
FINAL,2010,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),412,100,1236,.,0,0%,0%
FINAL,2010,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),6927,63,20666,64.9,0,0%,0%
FINAL,2011,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),392,97.8,0,.,392,0%,0%
FINAL,2011,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4196,54.9,27936,.,0,0%,0%
FINAL,2011,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2433,58.1,9401,61.3,0,0%,0%
FINAL,2012,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2657,74.5,5858,.,0,0%,0%
FINAL,2012,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),6000,59.2,0,.,6000,0%,0%
FINAL,2012,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1176,72.2,0,.,1176,0%,0%
FINAL,2012,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3641,72.2,0,.,3641,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1922,90.1,8050,92.4,0,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1564,66.3,7243,74.7,0,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1978,91,9788,92.9,0,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3078,59.6,15233,62.3,0,0%,0%
FINAL,2013,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1128,83.3,2487,.,0,0%,0%
FINAL,2013,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1603,100,0,.,1603,0%,0%
FINAL,2013,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2296,88,0,.,2296,0%,0%
FINAL,2013,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),328,73.5,0,.,328,0%,0%
FINAL,2013,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),611,77.7,0,.,611,0%,0%
FINAL,2013,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1852,75.8,4695,80.8,0,0%,0%
FINAL,2013,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5957,56.6,15104,61.9,0,0%,0%
FINAL,2013,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1829,68,5433,68.2,0,0%,0%
FINAL,2013,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),8894,47.5,11275,48,0,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),910,74.7,3080,75,0,0%,0%
FINAL,2013,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4740,49.8,16049,54.5,0,0%,0%
FINAL,2014,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2042,71.9,5807,72.6,0,0%,0%
FINAL,2014,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4934,74.8,14032,76,0,0%,0%
